Coalition,Date,Region or State,Adult ICU Empty ,Adult ICU Full,Adult Intensive Care Unit Staffed Bed Capacity,at_admission_confirmed_covid19_patients_in_24_hrs,at_admission_suspected_covid19_patients_in_24_hrs,ED COVID Visits Previous Day,ED Total Visits Previous Day,full_adult_icu_covid19_positive_patients,Hospitalized and Ventilated COVID Inpatient Count,ICU Licensed Beds,Inpatient Empty Beds (all types),Inpatient Full (all bed types),Licensed Inpatient Beds,Number of COVID-19 Positive Patients In Hospital,Parent Name,TOTAL Staffed Inpatient Capacity (all bed types),Ventilator available,Ventilator used (not specific to COVID-19)
MCRHC,1/31/2021,State,94,377,471,46,66,201,1216,86,35,468,686,2104,3301,378,12,2790,432,167
MCRHC,1/3/2021,State,97,379,476,47,74,264,1476,104,38,468,767,2044,3301,461,12,2811,430,169
MCRHC,12/24/2020,State,107,357,464,49,67,215,1275,68,27,468,841,1958,3301,354,12,2799,443,156
MCRHC,1/10/2021,State,90,378,468,50,65,213,1216,97,46,468,729,2081,3301,486,12,2810,428,171
MCRHC,12/28/2020,State,90,377,467,51,70,223,1331,86,35,468,653,2145,3301,410,12,2798,433,166
MCRHC,12/30/2020,State,95,382,477,52,73,243,1445,94,38,468,618,2193,3301,434,12,2811,439,160
MCRHC,1/15/2021,State,91,380,471,54,72,237,1337,104,43,468,656,2136,3301,465,12,2792,422,177
MCRHC,1/26/2021,State,76,396,472,56,75,264,1489,96,35,468,605,2190,3301,447,12,2795,427,172
MCRHC,1/12/2021,State,67,401,468,56,83,295,1441,102,48,468,599,2208,3301,513,12,2807,426,173
MCRHC,1/20/2021,State,69,403,472,57,84,220,1396,100,41,468,622,2166,3301,434,12,2788,401,198
MCRHC,1/1/2021,State,93,385,478,58,68,257,1327,102,38,468,816,1998,3301,429,12,2814,432,167
MCRHC,1/9/2021,State,86,382,468,58,80,214,1246,93,38,468,677,2132,3301,479,12,2809,443,156
MCRHC,1/6/2021,State,90,388,478,60,75,260,1414,107,39,468,632,2182,3301,482,12,2814,432,167
MCRHC,1/16/2021,State,96,375,471,62,79,242,1334,105,37,468,681,2110,3301,480,12,2791,435,164
MCRHC,1/22/2021,State,70,402,472,62,81,228,1400,100,41,468,665,2128,3301,406,12,2793,395,204
MCRHC,12/31/2020,State,118,359,477,66,89,232,1406,95,33,468,798,2016,3301,417,12,2814,438,161
MHPC,9/1/2020,State,67,319,386,37,84,0,0,69,44,687,943,3048,4815,232,13,3991,494,217
MHPC,4/12/2020,State,219,317,536,,,,,,,687,1471,1810,4815,81,14,3281,331,121
MHPC,4/26/2020,State,222,343,565,,,,,,,687,1374,2484,4815,123,14,3858,469,135
MHPC,4/9/2020,State,231,338,569,,,,,,,687,1618,2270,4815,132,14,3888,438,135
MHPC,4/6/2020,State,253,317,570,,,,,,,687,1957,2039,4815,128,14,3996,524,135
MHPC,8/1/2020,State,72,323,395,29,158,,,95,,687,1108,2901,4815,302,14,4009,536,217
MHPC,7/18/2020,State,48,358,406,32,105,,,78,,687,728,3193,4815,314,14,3921,516,212
MHPC,5/21/2020,State,100,335,435,,,,,,,687,948,3006,4815,87,15,3954,549,197
MHPC,4/8/2020,State,148,258,406,,,,,,,687,1696,2303,4815,121,15,3999,451,131
MHPC,4/29/2020,State,170,255,425,,,,,,,687,1485,2575,4815,128,15,4060,515,159
MHPC,4/23/2020,State,184,278,462,,,,,,,687,1414,2625,4815,133,15,4039,598,127
MHPC,4/25/2020,State,198,379,577,,,,,,,687,1471,2533,4815,128,15,4004,501,132
MHPC,4/21/2020,State,224,359,583,,,,,,,687,1485,2491,4815,125,15,3976,544,138
MHPC,4/16/2020,State,228,351,579,,,,,,,687,1473,2450,4815,113,15,3923,486,131
MHPC,4/10/2020,State,243,332,575,,,,,,,687,1603,2377,4815,128,15,3980,458,125
MHPC,6/8/2020,State,76,360,436,11,82,,,56,,687,1028,2864,4815,163,15,3892,544,176
MHPC,6/20/2020,State,82,370,452,16,116,,,73,,687,804,3060,4815,205,15,3864,530,203
MHPC,9/6/2020,State,111,294,405,16,91,25,168,72,51,687,1311,2923,4815,224,15,4234,516,217
MHPC,6/13/2020,State,83,335,418,18,77,,,62,,687,831,3146,4815,197,15,3977,489,227
MHPC,9/7/2020,State,114,292,406,18,68,43,173,75,46,687,1366,2888,4815,230,15,4254,528,205
MHPC,8/10/2020,State,96,311,407,19,125,,,79,,687,1208,2906,4815,287,15,4114,556,214
MHPC,7/19/2020,State,76,330,406,23,105,,,84,,687,783,3182,4815,317,15,3965,513,237
MHPC,9/3/2020,State,94,311,405,23,75,35,204,76,48,687,1130,3115,4815,244,15,4245,511,222
MHPC,8/3/2020,State,65,345,410,24,149,,,93,,687,1008,3106,4815,330,15,4114,570,201
MHPC,7/30/2020,State,64,343,407,25,111,,,93,,687,857,3245,4815,315,15,4102,547,225
MHPC,8/2/2020,State,86,321,407,25,133,,,100,,687,1267,2845,4815,312,15,4112,550,220
MHPC,9/4/2020,State,90,315,405,25,77,27,186,76,54,687,1151,3083,4815,239,15,4234,512,222
MHPC,8/16/2020,State,103,307,410,26,69,,,77,,687,1179,2610,4815,273,15,3789,552,194
MHPC,8/7/2020,State,88,319,407,26,116,,,84,,687,1010,3114,4815,313,15,4124,554,219
MHPC,9/8/2020,State,102,304,406,26,57,60,353,76,47,687,1253,3000,4815,228,15,4253,517,216
MHPC,9/2/2020,State,78,328,406,26,97,29,206,78,47,687,1016,3239,4815,244,15,4255,501,232
MHPC,7/20/2020,State,38,348,386,28,85,,,87,,687,831,3172,4815,333,15,4003,519,234
MHPC,8/5/2020,State,88,325,413,28,104,,,83,,687,996,3112,4815,313,15,4108,566,208
MHPC,8/8/2020,State,114,293,407,28,139,,,77,,687,1195,2928,4815,300,15,4123,551,218
MHPC,7/25/2020,State,76,327,403,30,104,,,88,,687,1161,2859,4815,315,15,4020,562,215
MHPC,6/27/2020,State,88,361,449,31,93,,,48,,687,785,3187,4815,243,15,3972,523,205
MHPC,7/26/2020,State,96,311,407,32,83,,,91,,687,1228,2875,4815,341,15,4103,557,216
MHPC,8/6/2020,State,87,320,407,35,134,,,94,,687,1012,3103,4815,310,15,4115,552,222
MHPC,7/24/2020,State,76,331,407,35,140,,,88,,687,1009,3092,4815,308,15,4101,565,216
MHPC,7/16/2020,State,45,371,416,36,106,,,72,,687,612,3400,4815,332,15,4012,546,214
MHPC,7/29/2020,State,69,338,407,40,156,,,93,,687,779,3323,4815,347,15,4102,558,214
MHPC,7/23/2020,State,74,333,407,46,102,,,85,,687,1023,3082,4815,301,15,4105,575,204
MHPC,6/2/2020,State,47,513,560,,,,,,,687,837,3305,4815,143,16,4142,638,222
MHPC,5/28/2020,State,56,344,400,,,,,,,687,907,3251,4815,138,16,4158,554,213
MHPC,5/12/2020,State,85,344,429,,,,,,,687,1255,2888,4815,86,16,4143,571,191
MHPC,5/25/2020,State,90,470,560,,,,,,,687,1170,2957,4815,121,16,4127,513,205
MHPC,5/23/2020,State,95,446,541,,,,,,,687,1053,3106,4815,85,16,4159,555,209
MHPC,5/27/2020,State,97,333,430,,,,,,,687,1040,3118,4815,133,16,4158,552,221
MHPC,5/20/2020,State,98,351,449,,,,,,,687,927,3170,4815,94,16,4097,567,193
MHPC,5/19/2020,State,106,343,449,,,,,,,687,1016,3080,4815,95,16,4096,579,187
MHPC,5/6/2020,State,122,303,425,,,,,,,687,1250,2892,4815,107,16,4142,722,163
MHPC,6/1/2020,State,126,442,568,,,,,,,687,1057,3037,4815,141,16,4094,601,205
MHPC,5/14/2020,State,134,295,429,,,,,,,687,1112,2985,4815,82,16,4097,582,189
MHPC,5/11/2020,State,143,424,567,,,,,,,687,1344,2750,4815,87,16,4094,702,183
MHPC,5/7/2020,State,147,302,449,,,,,,,687,1206,2700,4815,112,16,3906,612,118
MHPC,5/18/2020,State,166,402,568,,,,,,,687,1240,2854,4815,93,16,4094,587,170
MHPC,4/28/2020,State,167,282,449,,,,,,,687,1424,2633,4815,132,16,4057,492,159
MHPC,4/30/2020,State,189,260,449,,,,,,,687,1419,2693,4815,127,16,4112,558,157
MHPC,5/17/2020,State,194,374,568,,,,,,,687,1330,2791,4815,90,16,4121,562,190
MHPC,5/2/2020,State,215,372,587,,,,,,,687,1493,2582,4815,118,16,4075,594,152
MHPC,4/14/2020,State,220,371,591,,,,,,,687,1699,2411,4815,123,16,4110,482,128
MHPC,4/24/2020,State,221,364,585,,,,,,,687,1501,2593,4815,129,16,4094,465,141
MHPC,5/3/2020,State,221,366,587,,,,,,,687,1389,2544,4815,115,16,3933,582,165
MHPC,5/4/2020,State,223,364,587,,,,,,,687,1496,2598,4815,113,16,4094,580,168
MHPC,5/1/2020,State,232,355,587,,,,,,,687,1430,2682,4815,126,16,4112,580,167
MHPC,4/19/2020,State,248,339,587,,,,,,,687,1674,2393,4815,111,16,4067,603,148
MHPC,4/13/2020,State,254,337,591,,,,,,,687,1833,2221,4815,121,16,4054,377,129
MHPC,4/11/2020,State,275,316,591,,,,,,,687,1911,2186,4815,117,16,4097,472,128
MHPC,6/21/2020,State,88,499,587,10,109,,,62,,687,983,3027,4815,222,16,4010,524,206
MHPC,6/10/2020,State,56,374,430,11,84,,,63,,687,778,3319,4815,169,16,4097,499,225
MHPC,6/17/2020,State,88,361,449,14,72,,,58,,687,792,3288,4815,211,16,4080,555,190
MHPC,6/19/2020,State,82,391,473,15,106,,,79,,687,733,3329,4815,211,16,4062,522,232
MHPC,6/14/2020,State,107,461,568,16,66,,,58,,687,1085,3003,4815,214,16,4088,501,230
MHPC,6/7/2020,State,62,520,582,17,115,,,53,,687,1009,3019,4815,165,16,4028,529,206
MHPC,6/6/2020,State,40,406,446,17,115,,,61,,687,927,3152,4815,156,16,4079,517,220
MHPC,6/22/2020,State,93,494,587,18,82,,,63,,687,1017,3056,4815,221,16,4073,505,237
MHPC,6/24/2020,State,99,362,461,18,89,,,64,,687,654,3417,4815,224,16,4071,512,210
MHPC,6/5/2020,State,42,408,450,18,138,,,60,,687,646,3496,4815,144,16,4142,508,228
MHPC,7/11/2020,State,51,326,377,20,80,,,75,,687,644,3198,4815,300,16,3842,524,201
MHPC,6/11/2020,State,61,369,430,20,96,,,61,,687,702,3392,4815,178,16,4094,499,226
MHPC,6/12/2020,State,59,383,442,20,126,,,64,,687,735,3335,4815,190,16,4070,456,280
MHPC,8/15/2020,State,109,328,437,21,103,,,78,,687,1303,2936,4815,261,16,4239,575,208
MHPC,8/24/2020,State,100,332,432,21,120,,,66,,687,1369,3391,4815,243,16,4760,576,204
MHPC,8/22/2020,State,117,315,432,21,139,,,72,,687,1437,3329,4815,245,16,4766,563,219
MHPC,6/16/2020,State,77,372,449,21,153,,,53,,687,818,3244,4815,197,16,4062,506,230
MHPC,8/12/2020,State,102,324,426,22,112,,,89,,687,1067,3139,4815,286,16,4206,565,219
MHPC,7/13/2020,State,75,341,416,23,119,,,76,,687,945,3063,4815,305,16,4008,548,216
MHPC,6/18/2020,State,61,388,449,24,119,,,67,,687,821,3247,4815,202,16,4068,625,231
MHPC,7/21/2020,State,43,346,389,25,102,,,92,,687,648,3394,4815,325,16,4042,540,230
MHPC,6/29/2020,State,127,460,587,25,104,,,62,,687,1019,2980,4815,245,16,3999,558,196
MHPC,8/14/2020,State,94,343,437,25,105,,,84,,687,1119,3128,4815,263,16,4247,567,215
MHPC,8/31/2020,State,94,338,432,25,110,0,0,64,43,687,1346,3355,4815,257,16,4701,560,220
MHPC,8/17/2020,State,84,353,437,26,101,,,83,,687,1386,3342,4815,288,16,4728,572,208
MHPC,7/12/2020,State,76,301,377,26,113,,,71,,687,780,3020,4815,301,16,3800,532,193
MHPC,7/5/2020,State,125,443,568,27,64,,,64,,687,1003,3030,4815,280,16,4033,525,223
MHPC,6/28/2020,State,103,461,564,27,92,,,62,,687,1128,2946,4815,240,16,4074,546,197
MHPC,8/18/2020,State,86,351,437,27,124,,,83,,687,1161,3592,4815,268,16,4753,570,212
MHPC,8/27/2020,State,85,347,432,28,114,0,0,71,43,687,1054,3656,4815,250,16,4710,569,213
MHPC,8/25/2020,State,97,335,432,29,128,,,69,,687,1226,3480,4815,245,16,4706,570,211
MHPC,8/26/2020,State,93,339,432,29,94,0,0,73,45,687,1188,3520,4815,242,16,4708,568,212
MHPC,7/7/2020,State,42,355,397,30,117,,,65,,687,704,3366,4815,265,16,4070,521,226
MHPC,7/4/2020,State,81,337,418,33,100,,,64,,687,1057,3035,4815,285,16,4092,556,186
MHPC,7/8/2020,State,56,341,397,35,178,,,75,,687,591,3466,4815,279,16,4057,530,227
MHPC,7/22/2020,State,40,357,397,36,83,,,88,,687,515,3529,4815,329,16,4044,527,228
MHPC,8/19/2020,State,90,347,437,36,97,,,71,,687,1210,3547,4815,264,16,4757,571,212
MHPC,7/2/2020,State,43,399,442,39,99,,,65,,687,654,3419,4815,279,16,4073,569,177
MHPC,7/9/2020,State,67,330,397,41,128,,,69,,687,628,3423,4815,309,16,4051,549,210
MHPC,7/17/2020,State,47,369,416,43,82,,,79,,687,600,3482,4815,328,16,4082,548,219
MHPC,6/9/2020,State,5,425,430,65,122,,,63,,687,814,3240,4815,171,16,4054,504,231
MHPC,9/24/2020,State,52,363,415,16,26,311,2139,50,30,687,845,3749,4815,201,17,4594,599,201
MHPC,9/9/2020,State,83,323,406,25,47,303,2124,66,47,687,970,3288,4815,222,17,4258,520,213
MHPC,6/23/2021,State,74,367,441,5,3,189,2596,19,10,687,1086,3747,4815,74,18,4833,556,195
MHPC,6/21/2021,State,83,358,441,5,7,196,2315,20,11,687,1217,3619,4815,84,18,4836,542,223
MHPC,6/20/2021,State,87,354,441,5,7,194,2395,23,15,687,1353,3482,4815,87,18,4835,530,235
MHPC,6/8/2021,State,69,367,436,6,6,225,2897,25,17,687,1078,3758,4815,103,18,4836,553,212
MHPC,6/22/2021,State,69,372,441,7,3,212,3062,19,11,687,1040,3802,4815,73,18,4842,554,211
MHPC,6/24/2021,State,75,366,441,7,9,165,2637,19,12,687,1117,3718,4815,69,18,4835,566,195
MHPC,6/18/2021,State,77,364,441,7,7,172,2542,23,14,687,1109,3726,4815,99,18,4835,539,226
MHPC,6/13/2021,State,96,345,441,8,6,224,2431,25,18,687,1230,3607,4815,94,18,4837,556,205
MHPC,6/17/2021,State,59,382,441,9,8,216,2633,23,12,687,1066,3769,4815,103,18,4835,546,220
MHPC,6/2/2021,State,76,360,436,10,12,219,2745,40,25,687,1254,3572,4815,121,18,4826,635,221
MHPC,5/30/2021,State,98,341,439,10,10,201,2443,41,26,687,1379,3438,4815,135,18,4817,631,223
MHPC,5/23/2021,State,111,328,439,10,1,195,2326,47,27,687,1361,3456,4815,145,18,4817,637,223
MHPC,6/16/2021,State,64,377,441,11,7,241,2679,23,15,687,1085,3738,4815,101,18,4823,550,215
MHPC,5/31/2021,State,106,333,439,11,13,206,2398,41,25,687,1404,3413,4815,123,18,4817,630,224
MHPC,5/22/2021,State,79,360,439,11,9,193,2557,45,26,687,1249,3568,4815,148,18,4817,633,227
MHPC,6/10/2021,State,69,372,441,12,10,200,2630,23,17,687,1091,3751,4815,108,18,4842,565,200
MHPC,6/12/2021,State,79,362,441,12,10,189,2527,23,17,687,1175,3658,4815,98,18,4833,549,216
MHPC,6/7/2021,State,88,348,436,12,15,184,2597,27,17,687,1179,3648,4815,111,18,4827,552,213
MHPC,6/19/2021,State,84,357,441,13,5,193,2546,26,15,687,1263,3572,4815,94,18,4835,533,232
MHPC,5/29/2021,State,91,348,439,13,7,179,2509,42,26,687,1216,3597,4815,139,18,4813,632,222
MHPC,5/27/2021,State,61,378,439,13,17,208,2571,43,26,687,1113,3742,4815,141,18,4855,631,224
MHPC,5/20/2021,State,76,364,440,14,12,262,2588,49,26,687,1097,3736,4815,177,18,4833,623,237
MHPC,5/24/2021,State,78,361,439,14,3,211,2514,48,30,687,1246,3571,4815,147,18,4817,627,233
MHPC,6/15/2021,State,76,365,441,15,3,197,2840,24,15,687,1122,3695,4815,108,18,4817,552,213
MHPC,6/3/2021,State,72,364,436,15,3,201,2554,37,23,687,1136,3698,4815,133,18,4834,626,230
MHPC,6/4/2021,State,63,373,436,15,5,237,2557,35,24,687,1141,3693,4815,127,18,4834,586,238
MHPC,5/21/2021,State,77,362,439,15,8,225,2651,47,26,687,1133,3684,4815,158,18,4817,630,230
MHPC,5/17/2021,State,90,351,441,15,11,303,2417,58,29,687,1227,3588,4815,195,18,4815,642,214
MHPC,5/16/2021,State,104,336,440,15,9,264,2322,60,31,687,1315,3525,4815,205,18,4840,644,212
MHPC,3/4/2021,State,96,364,460,16,37,257,2237,71,35,687,1120,3662,4815,269,18,4782,626,230
MHPC,6/9/2021,State,76,360,436,17,10,183,2653,24,17,687,1055,3782,4815,115,18,4837,566,199
MHPC,3/18/2021,State,113,347,460,17,30,265,2231,49,25,687,1174,3653,4815,207,18,4827,649,212
MHPC,5/28/2021,State,67,372,439,18,12,207,2467,45,28,687,1098,3715,4815,147,18,4813,630,224
MHPC,3/9/2021,State,107,353,460,18,33,275,2433,54,30,687,1291,3515,4815,214,18,4806,640,218
MHPC,3/3/2021,State,74,386,460,18,43,223,2192,74,39,687,1067,3716,4815,297,18,4783,618,236
MHPC,3/21/2021,State,129,331,460,19,13,259,2124,49,24,687,1312,3519,4815,186,18,4831,654,207
MHPC,3/25/2021,State,88,372,460,19,31,290,2415,46,24,687,1014,3789,4815,202,18,4803,643,213
MHPC,10/9/2020,State,68,364,432,19,94,441,2436,63,33,687,1172,3500,4815,209,18,4672,571,244
MHPC,4/29/2021,State,70,382,452,19,26,341,2724,67,35,687,965,3842,4815,265,18,4807,628,227
MHPC,5/9/2021,State,102,340,442,19,11,277,2516,74,45,687,1348,3489,4815,249,18,4837,611,247
MHPC,10/29/2020,State,55,373,428,19,124,435,2251,83,52,687,1045,3632,4815,281,18,4677,591,243
MHPC,3/20/2021,State,108,352,460,20,25,311,2311,52,24,687,1226,3605,4815,181,18,4831,653,208
MHPC,3/10/2021,State,103,357,460,20,34,301,2360,53,28,687,1275,3532,4815,200,18,4807,647,214
MHPC,3/29/2021,State,109,351,460,21,18,315,2227,47,24,687,1238,3573,4815,201,18,4811,641,215
MHPC,4/8/2021,State,98,362,460,21,27,326,2453,55,26,687,1113,3702,4815,241,18,4815,635,222
MHPC,3/11/2021,State,119,342,461,21,21,296,2177,50,31,687,1278,3530,4815,207,18,4808,651,210
MHPC,9/16/2020,State,99,328,427,21,82,376,2273,59,36,687,1117,3333,4815,204,18,4450,529,238
MHPC,5/6/2021,State,73,369,442,21,15,314,2693,69,42,687,1143,3694,4815,268,18,4837,609,248
MHPC,5/8/2021,State,98,344,442,21,9,245,2502,77,43,687,1278,3559,4815,252,18,4837,613,245
MHPC,5/7/2021,State,85,357,442,21,11,300,2629,68,43,687,1182,3655,4815,268,18,4837,603,255
MHPC,5/19/2021,State,67,374,441,22,10,246,2636,55,27,687,1136,3684,4815,185,18,4820,630,225
MHPC,3/15/2021,State,107,353,460,22,11,263,2437,48,28,687,1325,3488,4815,210,18,4813,631,226
MHPC,9/28/2020,State,87,340,427,22,90,592,2099,55,28,687,1234,3432,4815,208,18,4666,588,223
MHPC,2/28/2021,State,118,344,462,22,27,247,1998,78,34,687,1405,3370,4815,299,18,4775,651,239
MHPC,5/13/2021,State,66,374,440,22,13,267,2340,63,38,687,1197,3639,4815,231,18,4836,621,237
MHPC,10/17/2020,State,69,358,427,22,114,420,2325,66,44,687,1151,3556,4815,274,18,4707,590,239
MHPC,3/28/2021,State,118,342,460,23,29,275,2183,50,24,687,1322,3490,4815,191,18,4812,654,202
MHPC,10/8/2020,State,56,380,436,23,107,516,2475,67,29,687,1038,3609,4815,215,18,4647,574,241
MHPC,3/5/2021,State,99,361,460,23,39,233,2241,63,34,687,1051,3719,4815,269,18,4770,631,226
MHPC,5/12/2021,State,55,385,440,23,15,309,2593,67,36,687,1068,3760,4815,220,18,4828,622,235
MHPC,3/1/2021,State,117,344,461,23,33,245,2169,76,39,687,1306,3458,4815,307,18,4764,654,237
MHPC,10/16/2020,State,69,358,427,23,119,428,2315,60,43,687,1010,3682,4815,265,18,4692,577,251
MHPC,9/27/2020,State,99,328,427,24,72,498,2078,51,26,687,1252,3434,4815,205,18,4686,598,213
MHPC,4/7/2021,State,93,367,460,24,34,324,2523,55,28,687,1162,3642,4815,246,18,4804,616,243
MHPC,9/25/2020,State,87,340,427,24,72,425,2126,47,28,687,1107,3579,4815,194,18,4686,612,200
MHPC,9/30/2020,State,71,356,427,25,88,288,2281,54,26,687,1100,3571,4815,203,18,4671,570,244
MHPC,9/21/2020,State,94,333,427,25,62,352,2003,48,30,687,1198,3490,4815,198,18,4688,533,241
MHPC,9/12/2020,State,98,335,433,25,95,339,1950,65,45,687,1196,3521,4815,194,18,4717,521,209
MHPC,10/23/2020,State,74,355,429,25,96,416,2320,82,52,687,1068,3574,4815,275,18,4642,569,260
MHPC,10/7/2020,State,60,369,429,26,127,527,2500,64,30,687,1036,3642,4815,226,18,4678,582,234
MHPC,3/12/2021,State,109,351,460,26,26,329,2334,50,32,687,1343,3481,4815,206,18,4824,646,215
MHPC,4/3/2021,State,115,345,460,26,26,288,2171,53,32,687,1419,3403,4815,231,18,4822,633,226
MHPC,5/14/2021,State,76,364,440,26,18,292,2355,60,33,687,1190,3650,4815,222,18,4840,632,224
MHPC,9/17/2020,State,105,322,427,26,86,378,2277,60,36,687,1000,3438,4815,218,18,4438,526,245
MHPC,5/4/2021,State,75,365,440,26,15,317,2786,69,39,687,1096,3772,4815,266,18,4868,615,241
MHPC,10/22/2020,State,61,367,428,26,112,429,2322,81,51,687,1032,3622,4815,282,18,4654,561,269
MHPC,3/26/2021,State,81,379,460,27,22,313,2287,50,20,687,1114,3698,4815,196,18,4812,656,200
MHPC,10/1/2020,State,83,344,427,27,57,319,2239,50,24,687,1151,3535,4815,197,18,4686,581,229
MHPC,9/29/2020,State,66,361,427,27,89,346,2593,55,25,687,1071,3608,4815,206,18,4679,586,225
MHPC,3/7/2021,State,127,333,460,27,25,229,1997,64,32,687,1355,3413,4815,240,18,4768,633,224
MHPC,10/3/2020,State,96,331,427,27,139,342,2268,58,33,687,1277,3418,4815,207,18,4695,576,239
MHPC,11/1/2020,State,92,337,429,27,81,370,1868,87,55,687,1352,3296,4815,278,18,4648,564,268
MHPC,4/22/2021,State,83,366,449,28,30,361,2507,70,23,687,1052,3763,4815,309,18,4815,639,230
MHPC,4/26/2021,State,73,376,449,28,23,277,2416,67,26,687,1053,3751,4815,304,18,4804,612,254
MHPC,3/14/2021,State,118,342,460,28,29,279,2100,49,28,687,1469,3365,4815,207,18,4834,648,213
MHPC,9/18/2020,State,101,326,427,28,75,360,2098,60,37,687,1069,3385,4815,213,18,4454,532,239
MHPC,10/21/2020,State,68,361,429,28,112,463,2444,82,52,687,1047,3594,4815,307,18,4641,561,269
MHPC,10/25/2020,State,84,346,430,28,125,504,2206,85,54,687,1200,3437,4815,295,18,4637,578,247
MHPC,4/16/2021,State,89,368,457,29,41,339,2711,66,25,687,1028,3794,4815,302,18,4822,643,219
MHPC,9/10/2020,State,91,342,433,29,71,267,2047,67,44,687,1016,3708,4815,235,18,4724,530,202
MHPC,11/7/2020,State,80,351,431,29,110,467,2235,85,56,687,1145,3504,4815,282,18,4649,552,272
MHPC,4/13/2021,State,92,379,471,30,31,386,2826,64,21,687,1091,3741,4815,278,18,4832,625,235
MHPC,4/11/2021,State,128,343,471,30,23,268,2343,58,29,687,1256,3549,4815,263,18,4805,622,235
MHPC,3/6/2021,State,121,339,460,30,30,269,2150,66,34,687,1254,3509,4815,250,18,4763,630,227
MHPC,5/3/2021,State,65,379,444,30,11,320,2595,73,42,687,1069,3752,4815,284,18,4821,615,240
MHPC,2/22/2021,State,119,347,466,30,18,235,1977,83,47,687,1229,3544,4815,346,18,4773,681,231
MHPC,10/19/2020,State,75,352,427,30,94,366,2096,71,49,687,1209,3472,4815,301,18,4681,573,255
MHPC,10/26/2020,State,71,358,429,30,102,387,2108,78,50,687,1091,3552,4815,301,18,4643,582,246
MHPC,11/8/2020,State,79,351,430,30,99,489,2157,86,57,687,1172,3477,4815,295,18,4649,567,257
MHPC,10/12/2020,State,61,366,427,31,95,421,2209,56,34,687,1113,3565,4815,255,18,4678,579,244
MHPC,10/14/2020,State,61,366,427,31,116,443,2507,57,36,687,926,3742,4815,270,18,4668,585,243
MHPC,10/18/2020,State,82,345,427,31,95,407,2086,72,45,687,1270,3414,4815,293,18,4684,573,253
MHPC,10/27/2020,State,68,362,430,31,114,552,2496,80,50,687,1049,3653,4815,289,18,4702,583,245
MHPC,11/4/2020,State,73,358,431,31,120,450,2086,73,51,687,1033,3653,4815,277,18,4686,580,249
MHPC,2/21/2021,State,130,336,466,31,37,239,2015,87,52,687,1421,3353,4815,363,18,4774,675,237
MHPC,2/19/2021,State,94,374,468,31,33,276,1972,97,54,687,1076,3698,4815,396,18,4774,665,247
MHPC,4/17/2021,State,110,347,457,32,44,332,2588,60,24,687,1079,3743,4815,291,18,4822,647,215
MHPC,4/1/2021,State,96,364,460,32,26,279,2340,51,27,687,1134,3681,4815,228,18,4815,623,236
MHPC,4/10/2021,State,124,347,471,32,25,273,2413,62,31,687,1278,3543,4815,256,18,4821,620,237
MHPC,9/14/2020,State,99,326,425,32,91,419,1919,64,45,687,1198,3238,4815,207,18,4436,519,211
MHPC,3/19/2021,State,95,365,460,33,29,265,2202,51,25,687,1173,3658,4815,189,18,4831,645,216
MHPC,4/6/2021,State,73,387,460,33,16,268,2585,56,28,687,1121,3684,4815,260,18,4805,596,262
MHPC,5/15/2021,State,103,337,440,33,8,227,2414,62,32,687,1272,3568,4815,215,18,4840,629,227
MHPC,10/13/2020,State,60,367,427,33,127,463,2657,58,36,687,1048,3650,4815,266,18,4698,586,242
MHPC,5/10/2021,State,100,339,439,33,16,290,2310,76,41,687,1230,3587,4815,242,18,4817,621,236
MHPC,4/21/2021,State,72,377,449,34,23,339,2607,70,22,687,962,3835,4815,320,18,4797,639,223
MHPC,3/23/2021,State,104,356,460,34,21,289,2552,44,25,687,1137,3680,4815,201,18,4817,635,227
MHPC,4/30/2021,State,64,378,442,34,20,321,2529,61,39,687,1098,3718,4815,268,18,4816,613,242
MHPC,10/28/2020,State,61,367,428,34,91,463,2337,84,54,687,1034,3647,4815,295,18,4681,586,248
MHPC,4/27/2021,State,67,382,449,35,18,371,2789,72,29,687,981,3832,4815,299,18,4813,634,231
MHPC,4/24/2021,State,99,350,449,36,28,338,2551,69,26,687,1208,3602,4815,300,18,4810,631,220
MHPC,4/28/2021,State,75,374,449,36,26,370,2777,70,33,687,1021,3810,4815,291,18,4831,631,224
MHPC,2/25/2021,State,98,362,460,36,31,284,2280,78,40,687,1181,3589,4815,338,18,4770,679,232
MHPC,5/5/2021,State,79,361,440,37,17,310,2658,64,39,687,1152,3683,4815,267,18,4835,614,238
MHPC,5/2/2021,State,75,367,442,37,21,301,2456,67,43,687,1113,3703,4815,279,18,4816,612,243
MHPC,10/30/2020,State,69,360,429,37,109,434,2311,83,54,687,1063,3577,4815,272,18,4640,596,236
MHPC,11/5/2020,State,63,367,430,37,124,421,2251,77,54,687,1003,3692,4815,282,18,4695,570,253
MHPC,2/20/2021,State,127,339,466,37,33,272,2151,91,58,687,1318,3460,4815,372,18,4778,671,242
MHPC,10/2/2020,State,87,340,427,38,92,380,2360,53,26,687,1183,3512,4815,215,18,4695,585,230
MHPC,11/3/2020,State,60,373,433,38,126,454,2312,80,50,687,1041,3642,4815,283,18,4683,564,265
MHPC,11/10/2020,State,61,366,427,38,120,511,2534,74,53,687,1031,3649,4815,303,18,4680,569,253
MHPC,4/25/2021,State,107,342,449,39,14,316,2193,65,26,687,1297,3524,4815,307,18,4821,624,244
